State/Territory/Federal Entity,Total Delivered,Total Administered,Delivered per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K,2019 Population,Number for Herd Immunity,Percent Vaccinated,,,
Alaska,299935,216223,41000,29557,143887,19669,71892,9827,"731,545",3922548,19.66891989,,,
Alabama,1077600,739132,21978,15075,545431,11124,192304,3922,"4,903,185",585236,11.12401429,,,
Arkansas,691525,517271,22915,17141,362972,12028,150812,4997,"3,017,804",5822973.6,12.02768636,,,
Arizona,1679175,1376405,23070,18910,1036237,14237,335248,4606,"7,278,717",2414243.2,14.23653372,,,
California,9164130,6964603,23193,17626,5159868,13059,1753917,4439,"39,512,223",31609778.4,13.05891597,,,
Colorado,1332775,1132448,23144,19665,780757,13558,345623,6002,"5,758,736",4606988.8,13.55778421,,,
Connecticut,958925,822615,26896,23073,558539,15666,253770,7118,"3,565,287",2852229.6,15.66603194,,,
District of Columbia,225125,157111,31899,22262,106692,15118,50145,7105,"705,749",779011.2,15.11755596,,,
Delaware,204200,175305,20970,18003,130818,13434,43614,4479,"973,764",564599.2,13.43426128,,,
Florida,4971575,4198451,23148,19548,2793123,13005,1378573,6419,"21,477,737",17182189.6,13.00473602,,,
Georgia,2286360,1720789,21534,16207,1158554,10912,527556,4969,"10,617,423",8493938.4,10.91181919,,,
Hawaii,397750,301369,28092,21285,210213,14847,90892,6420,"1,415,872",1132697.6,14.84689294,,,
Iowa,669900,552706,21232,17518,411926,13056,134995,4279,"3,155,070",2524056,13.05600193,,,
Idaho,357200,304647,19988,17047,211625,11842,81497,4560,"1,787,065",1429652,11.84204268,,,
Illinois,2883925,2174539,22759,17160,1647720,13003,492551,3887,"12,671,821",10137456.8,13.00302459,,,
Indiana,1487400,1194094,22094,17737,841694,12502,350440,5205,"6,732,219",5385775.2,12.50247504,,,
Kansas,624975,466718,21452,16020,334112,11468,128614,4415,"2,913,314",2330651.2,11.46845139,,,
Kentucky,998250,779109,22344,17439,547573,12256,228157,5107,"4,467,673",3574138.4,12.25633568,,,
Louisiana,987625,859565,21245,18490,572666,12319,285057,6132,"4,648,794",3719035.2,12.31859274,,,#NAME?
Massachusetts,1580500,1316402,22931,19099,987512,14327,326108,4731,"6,892,503",5514002.4,14.32733508,,,"731,545"
Maryland,1435375,1011323,23742,16728,709862,11742,300029,4963,"6,035,802",4828641.6,11.7608563,,,"7,278,717"
Maine,335375,268162,24950,19949,190220,14151,75845,5642,"1,344,212",1075369.6,14.15104165,,,"3,017,804"
Michigan,2270370,1833886,22734,18363,1223696,12253,591771,5925,"9,986,857",7989485.6,12.2530642,,,"39,512,223"
Minnesota,1269275,1051784,22506,18650,754315,13375,293643,5207,"5,639,632",4511705.6,13.37525214,,,"5,758,736"
Missouri,1222875,1014248,19925,16526,708969,11552,295456,4814,"6,137,428",4909942.4,11.55156525,,,"3,565,287"
Mississippi,647825,474304,21767,15937,341669,11480,131916,4432,"2,976,149",2380919.2,11.48023839,,,"973,764"
Montana,250795,221225,23466,20699,157930,14777,62657,5862,"1,068,778",855022.4,14.77668889,,,"705,749"
North Carolina,2293000,1959215,21863,18680,1339762,12774,616620,5879,"10,488,084",8390467.2,12.77413491,,,"21,477,737"
North Dakota,192100,182325,25208,23925,122026,16013,58099,7624,"762,062",609649.6,16.0126079,,,"10,617,423"
Nebraska,472325,347754,24417,17977,235260,12162,110603,5718,"1,934,408",1547526.4,12.16186037,,,"1,415,872"
New Hampshire,328525,241386,24161,17753,166491,12245,74721,5495,"1,359,711",1087768.8,12.24458727,,,"1,787,065"
New Jersey,1809900,1604448,20377,18064,1139254,12826,458928,5167,"8,882,190",7105752,12.8262737,,,"12,671,821"
New Mexico,599575,562580,28594,26830,379606,18104,177122,8447,"2,096,829",1677463.2,18.10381295,,,"6,732,219"
Nevada,645250,522332,20949,16958,380921,12367,138633,4501,"3,080,156",2464124.8,12.36693856,,,"3,155,070"
New York ,4165325,3447521,21412,17722,2296133,11803,1066991,5485,"19,453,561",15562848.8,11.80315008,,,"2,913,314"
Ohio,2504150,1999736,21423,17108,1432292,12253,563650,4822,"11,689,100",9351280,12.25322737,,,"4,467,673"
Oklahoma,1061775,813518,26833,20559,565691,14296,240890,6088,"3,956,971",3165576.8,14.29606131,,,"4,648,794"
Oregon,922300,767637,21867,18200,529837,12562,234021,5548,"4,217,737",3374189.6,12.56211566,,,"1,344,212"
Pennsylvania,2989725,2184973,23354,17067,1601176,12507,577183,4509,"12,801,989",10241591.2,12.50724399,,,"6,045,680"
Rhode Island,246175,181725,23238,17154,124576,11760,57064,5387,"1,059,361",847488.8,11.75954184,,,"6,892,503"
South Carolina,1064775,848054,20680,16471,610292,11853,222887,4329,"5,148,714",4118971.2,11.85328997,,,"9,986,857"
South Dakota,262800,218198,29706,24665,148976,16840,69083,7809,"884,659",707727.2,16.83993494,,,"5,639,632"
Tennessee,1466450,1083579,21473,15867,740230,10839,339016,4964,"6,829,174",5463339.2,10.8392318,,,"2,976,149"
Texas,5520100,4542622,19038,15666,3205884,11056,1331268,4591,"28,995,881",23196704.8,11.0563428,,,"6,137,428"
Utah,657150,584648,20498,18236,343017,10699,136006,4242,"3,205,958",2564766.4,10.69936038,,,"1,068,778"
Virginia,1942700,1645485,22760,19278,1154362,13524,459751,5386,"8,535,519",6828415.2,13.52421569,,,"1,934,408"
Vermont,159650,127619,25585,20452,86590,13877,40829,6543,"623,989",499191.2,13.87684719,,,"3,080,156"
Washington,1601125,1362197,21026,17889,982469,12902,364470,4786,"7,614,893",6091914.4,12.90194097,,,"1,359,711"
Wisconsin,1300325,1137395,22333,19535,818760,14062,306537,5265,"5,822,434",4657947.2,14.06216026,,,"8,882,190"
West Virginia,481225,440614,26852,24586,279255,15582,161329,9002,"1,792,147",1433717.6,15.58214812,,,"2,096,829"
Wyoming,150005,124310,25918,21479,87289,15082,36651,6333,"578,759",463007.2,15.08209808,,,"19,453,561"
